,addresses_pp,hospitality_companies_pp,police_locations_pp,parks_pp,sport_facilities_pp,child_facilities_pp,elderly_facilities_pp,toilets_pp,handicapp_pp,transport_rental_pp,community_facilities_pp,fountains_pp,street_art_pp,social_centers_pp,street_lights_pp,churches_pp,parks_distance,police_locations_distance,toilets_distance,handicapp_distance,hospitality_companies_distance
8055,0.09618260181194477,0.001407335737531885,0.0,0.0003078546925850998,0.00017591696719148562,0.0015832527047233704,0.000219896208989357,0.0001319377253936142,0.0006596886269680711,0.00035183393438297124,4.397924179787141e-05,0.00219896208989357,0.0001319377253936142,0.0,0.052203360014073365,0.00017591696719148562,495.43735017194496,1169.970671977588,372.3444759787323,319.2118819666155,166.68058520253746
8053,0.16720334889711802,0.0008050233456770246,0.0,0.001046530349380132,8.050233456770246e-05,0.001207535018515537,8.050233456770246e-05,0.00016100466913540493,0.0004025116728385123,0.00024150700370310742,8.050233456770246e-05,0.003139591048140396,0.0008050233456770246,0.0,0.074947673482531,0.00024150700370310742,471.9570913704914,2444.4211402233364,606.5991499919525,398.92177339909614,264.101909562504
8044,0.15865161589608784,0.001778258852636462,0.0,0.0010824184320395855,0.0002319468068656255,0.0008504716251739601,7.731560228854182e-05,7.731560228854182e-05,0.0027833616823875053,0.00030926240915416734,0.0,0.003556517705272924,0.0006958404205968763,0.0,0.09710839647440854,0.0002319468068656255,425.8447924334127,1252.2039627467614,628.8033588812606,246.79541607087435,202.2224906668795
8037,0.10281887892861,0.0022140619937358248,0.0,0.0008100226806350577,0.00010800302408467438,0.0015120423371854411,0.00021600604816934875,0.00010800302408467438,0.0006480181445080463,0.0009180257047197323,0.00010800302408467438,0.002322065017820499,0.0003780105842963603,5.400151204233719e-05,0.07344205637757857,0.00021600604816934875,306.0949691560356,676.2643827340817,391.2109504263076,204.4783941348686,128.84659703851415
8045,0.13356009070294786,0.0047619047619047615,7.558578987150416e-05,0.0006802721088435374,0.0003023431594860166,0.0014361300075585789,0.0002267573696145125,0.0002267573696145125,0.0008314436885865457,0.0008314436885865457,0.0,0.0020408163265306124,0.0003023431594860166,0.0,0.07520786092214664,7.558578987150416e-05,467.90383168831755,713.2894123658524,438.0774473398394,253.45808614170912,145.942485807192
8005,0.08311547378286391,0.010309278350515464,9.86533813446456e-05,0.0001973067626892912,4.93266906723228e-05,0.0013811473388250382,0.00014798007201696835,0.00029596014403393675,0.002170374389582203,0.0014798007201696835,4.93266906723228e-05,0.0017757608642036203,0.0006905736694125191,4.93266906723228e-05,0.09742021407783752,9.86533813446456e-05,329.1322291380199,436.92360193205155,278.90044307485596,157.3569095850045,55.40029312858865
8003,0.0696218487394958,0.0052100840336134465,4.2016806722689084e-05,0.00021008403361344542,8.403361344537815e-05,0.0008823529411764707,4.2016806722689084e-05,0.00025210084033613445,0.0009243697478991596,0.0007563025210084032,0.0,0.0022689075630252103,0.0010924369747899161,0.0,0.04310924369747899,0.00016806722689075633,282.62000608323143,546.2149758615324,220.76002842259393,126.6895050434905,62.0426664216689
8002,0.12397820163487737,0.005979412655161974,0.00015137753557372085,0.0006811989100817437,0.00015137753557372085,0.0015894641235240689,0.0,0.0003027550711474417,0.0015137753557372085,0.0009082652134423252,0.0,0.004087193460490463,0.004087193460490463,0.0,0.1128519527702089,0.00015137753557372085,267.0330482491928,482.2692410509039,355.93101967940294,178.8965904005033,97.27067963264166
8041,0.15117493472584856,0.0010443864229765013,0.0,0.0016971279373368144,0.0005221932114882506,0.0019582245430809398,0.0002610966057441253,0.0,0.000783289817232376,0.000391644908616188,0.00013054830287206266,0.0045691906005221935,0.000391644908616188,0.0,0.0839425587467363,0.0002610966057441253,370.50884435102654,2225.4361817698273,1364.2228472409495,333.11504261111537,186.4527625703208
8064,0.10193032015065913,0.002354048964218456,0.0,0.00023540489642184562,0.0007062146892655367,0.0011770244821092278,0.0007062146892655367,0.00023540489642184562,0.00047080979284369113,0.0007062146892655367,0.00023540489642184562,0.0035310734463276845,0.0018832391713747645,0.0,0.15089453860640303,0.00023540489642184562,442.20951579750863,1069.6747356196365,453.1138353749779,332.2443463749761,153.6892687289004
8143,0.004313443565780014,0.0004792715073088905,0.0,0.0007189072609633358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011981787682722265,0.0,0.0,0.0100647016534867,0.0,231.6755657001204,1531.281589920897,1204.8160989905382,1160.67903968343,171.2918121156273
